Iteration n. 0, error 927827.679145 
Iteration n. 1, error 726816.223326 
Iteration n. 2, error 581769.204949 
Iteration n. 3, error 477408.630077 
Iteration n. 4, error 395485.897206 
Iteration n. 5, error 334651.158957 
Iteration n. 6, error 292079.617208 
Iteration n. 7, error 254134.878622 
Iteration n. 8, error 215114.115728 
Iteration n. 9, error 182607.082276 
Iteration n. 10, error 156266.959549 
Iteration n. 11, error 139994.419331 
Iteration n. 12, error 125521.301757 
Iteration n. 13, error 112218.794486 
Iteration n. 14, error 98203.683241 
Iteration n. 15, error 85490.183638 
Iteration n. 16, error 73443.000140 
Iteration n. 17, error 62609.489556 
Iteration n. 18, error 59077.977003 
Iteration n. 19, error 53892.807510 
Iteration n. 20, error 47565.861958 
Iteration n. 21, error 45535.865588 
Iteration n. 22, error 44789.582377 
Iteration n. 23, error 42402.349216 
Iteration n. 24, error 39130.442990 
Iteration n. 25, error 37194.415972 
Iteration n. 26, error 35206.437543 
Iteration n. 27, error 32203.737761 
Iteration n. 28, error 29549.317563 
Iteration n. 29, error 27893.877946 
Iteration n. 30, error 27707.173303 
Iteration n. 31, error 28305.702063 
Iteration n. 32, error 28536.722112 
Iteration n. 33, error 27381.782682 
Iteration n. 34, error 24461.926511 
Iteration n. 35, error 21388.206521 
Iteration n. 36, error 19411.085140 
Iteration n. 37, error 18062.429515 
Iteration n. 38, error 16313.720166 
Iteration n. 39, error 14149.621211 
Iteration n. 40, error 12735.640987 
Iteration n. 41, error 12904.542590 
Iteration n. 42, error 14638.353297 
Iteration n. 43, error 18306.190364 
Iteration n. 44, error 23544.214839 
Iteration n. 45, error 23553.140641 
Iteration n. 46, error 18392.083676 
Iteration n. 47, error 14694.879614 
Iteration n. 48, error 12225.420016 
Iteration n. 49, error 10739.847211 
Iteration n. 50, error 10534.182216 
Iteration n. 51, error 11687.348948 
Iteration n. 52, error 14062.339499 
Iteration n. 53, error 17369.101524 
Iteration n. 54, error 20559.831905 
Iteration n. 55, error 21136.519253 
Iteration n. 56, error 17377.395549 
Iteration n. 57, error 11721.238164 
Iteration n. 58, error 7238.102387 
Iteration n. 59, error 4490.416936 
Iteration n. 60, error 3033.925265 
Iteration n. 61, error 2436.691557 
Iteration n. 62, error 2353.336915 
Iteration n. 63, error 2533.497324 
Iteration n. 64, error 2856.349865 
Iteration n. 65, error 3287.585287 
Iteration n. 66, error 3830.184434 
Iteration n. 67, error 4497.835721 
Iteration n. 68, error 5294.470384 
Iteration n. 69, error 6181.873374 
Iteration n. 70, error 7025.865491 
Iteration n. 71, error 7550.297363 
Iteration n. 72, error 7412.828189 
Iteration n. 73, error 6485.358048 
Iteration n. 74, error 5057.608511 
Iteration n. 75, error 3602.756868 
Iteration n. 76, error 2419.456728 
Iteration n. 77, error 1570.460802 
Iteration n. 78, error 1000.682242 
Iteration n. 79, error 631.345226 
Iteration n. 80, error 396.219332 
Iteration n. 81, error 247.948883 
Iteration n. 82, error 154.922317 
Iteration n. 83, error 96.716125 
Iteration n. 84, error 60.351123 
Iteration n. 85, error 37.650098 
Iteration n. 86, error 23.485083 
Iteration n. 87, error 14.648430 
Iteration n. 88, error 9.136461 
Iteration n. 89, error 5.698500 
Iteration n. 90, error 3.554205 
Iteration n. 91, error 2.216796 
Iteration n. 92, error 1.382645 
Iteration n. 93, error 0.862377 
Iteration n. 94, error 0.537881 
Iteration n. 95, error 0.335487 
Iteration n. 96, error 0.209251 
Iteration n. 97, error 0.130515 
Iteration n. 98, error 0.081405 
Iteration n. 99, error 0.050775 
Iteration n. 100, error 0.031670 
Iteration n. 101, error 0.019754 
Iteration n. 102, error 0.012321 
Iteration n. 103, error 0.007685 
Iteration n. 104, error 0.004794 
Iteration n. 105, error 0.002991 
Iteration n. 106, error 0.001866 
Iteration n. 107, error 0.001165 
Iteration n. 108, error 0.000727 
Iteration n. 109, error 0.000455 
Iteration n. 110, error 0.000285 
Iteration n. 111, error 0.000179 
Iteration n. 112, error 0.000114 
Iteration n. 113, error 0.000073 
Total iterations = 113
Mean Shift wall clock time = 78.257193
