Iteration n. 0, error 900725.214707 
Iteration n. 1, error 711240.249913 
Iteration n. 2, error 572364.562445 
Iteration n. 3, error 472414.550249 
Iteration n. 4, error 391267.517200 
Iteration n. 5, error 329290.004875 
Iteration n. 6, error 283810.031420 
Iteration n. 7, error 250529.098667 
Iteration n. 8, error 219842.868199 
Iteration n. 9, error 188154.106405 
Iteration n. 10, error 164642.483534 
Iteration n. 11, error 148533.171361 
Iteration n. 12, error 134252.690689 
Iteration n. 13, error 119338.958288 
Iteration n. 14, error 104756.200878 
Iteration n. 15, error 90709.382266 
Iteration n. 16, error 81069.664373 
Iteration n. 17, error 70968.599390 
Iteration n. 18, error 60656.836465 
Iteration n. 19, error 52460.966775 
Iteration n. 20, error 45983.000348 
Iteration n. 21, error 42992.393727 
Iteration n. 22, error 40717.963103 
Iteration n. 23, error 38174.207978 
Iteration n. 24, error 36772.370608 
Iteration n. 25, error 37072.563890 
Iteration n. 26, error 37664.840852 
Iteration n. 27, error 34789.973611 
Iteration n. 28, error 32166.214159 
Iteration n. 29, error 32054.774268 
Iteration n. 30, error 27717.389825 
Iteration n. 31, error 24851.091967 
Iteration n. 32, error 24807.848863 
Iteration n. 33, error 25528.369785 
Iteration n. 34, error 26383.576670 
Iteration n. 35, error 26326.276075 
Iteration n. 36, error 24556.136673 
Iteration n. 37, error 22140.508053 
Iteration n. 38, error 20033.050640 
Iteration n. 39, error 18709.463370 
Iteration n. 40, error 18639.682420 
Iteration n. 41, error 18656.780620 
Iteration n. 42, error 17638.228140 
Iteration n. 43, error 16412.753573 
Iteration n. 44, error 16080.363424 
Iteration n. 45, error 16290.286526 
Iteration n. 46, error 16274.663907 
Iteration n. 47, error 16177.503199 
Iteration n. 48, error 16532.468594 
Iteration n. 49, error 17014.170134 
Iteration n. 50, error 16899.170513 
Iteration n. 51, error 16248.746708 
Iteration n. 52, error 15377.334577 
Iteration n. 53, error 13973.506596 
Iteration n. 54, error 12074.498214 
Iteration n. 55, error 11010.710037 
Iteration n. 56, error 11572.925918 
Iteration n. 57, error 12299.881789 
Iteration n. 58, error 12025.032571 
Iteration n. 59, error 11390.321461 
Iteration n. 60, error 11187.761516 
Iteration n. 61, error 11600.801706 
Iteration n. 62, error 12527.393424 
Iteration n. 63, error 13691.623696 
Iteration n. 64, error 14579.529807 
Iteration n. 65, error 14515.733207 
Iteration n. 66, error 13004.099425 
Iteration n. 67, error 10149.735485 
Iteration n. 68, error 6863.196535 
Iteration n. 69, error 4192.067925 
Iteration n. 70, error 2499.299534 
Iteration n. 71, error 1631.816146 
Iteration n. 72, error 1324.621884 
Iteration n. 73, error 1323.129986 
Iteration n. 74, error 1457.545735 
Iteration n. 75, error 1660.553452 
Iteration n. 76, error 1915.630274 
Iteration n. 77, error 2222.334136 
Iteration n. 78, error 2582.723116 
Iteration n. 79, error 2994.774828 
Iteration n. 80, error 3447.117721 
Iteration n. 81, error 3915.073406 
Iteration n. 82, error 4361.912331 
Iteration n. 83, error 4750.819148 
Iteration n. 84, error 5067.894125 
Iteration n. 85, error 5344.808554 
Iteration n. 86, error 5665.620391 
Iteration n. 87, error 6157.168664 
Iteration n. 88, error 6979.549508 
Iteration n. 89, error 8327.271663 
Iteration n. 90, error 10407.541823 
Iteration n. 91, error 13233.717057 
Iteration n. 92, error 15939.034640 
Iteration n. 93, error 16414.969366 
Iteration n. 94, error 13866.130243 
Iteration n. 95, error 10111.764624 
Iteration n. 96, error 6629.532768 
Iteration n. 97, error 4016.629625 
Iteration n. 98, error 2324.253993 
Iteration n. 99, error 1315.360073 
Iteration n. 100, error 737.112514 
Iteration n. 101, error 411.424409 
Iteration n. 102, error 229.348651 
Iteration n. 103, error 127.852237 
Iteration n. 104, error 71.315704 
Iteration n. 105, error 39.814292 
Iteration n. 106, error 22.248880 
Iteration n. 107, error 12.444960 
Iteration n. 108, error 6.967507 
Iteration n. 109, error 3.904213 
Iteration n. 110, error 2.189438 
Iteration n. 111, error 1.228698 
Iteration n. 112, error 0.689989 
Iteration n. 113, error 0.387701 
Iteration n. 114, error 0.217964 
Iteration n. 115, error 0.122599 
Iteration n. 116, error 0.068988 
Iteration n. 117, error 0.038837 
Iteration n. 118, error 0.021871 
Iteration n. 119, error 0.012320 
Iteration n. 120, error 0.006942 
Iteration n. 121, error 0.003913 
Iteration n. 122, error 0.002206 
Iteration n. 123, error 0.001244 
Iteration n. 124, error 0.000702 
Iteration n. 125, error 0.000396 
Iteration n. 126, error 0.000223 
Iteration n. 127, error 0.000126 
Iteration n. 128, error 0.000071 
Total iterations = 128
Mean Shift wall clock time = 89.742256
