Dataset,S4
Implem,Serial_C_LOCAL_RUN
Iter,Error
0,927827.679145
1,726816.223326
2,581769.204949
3,477408.630077
4,395485.897206
5,334651.158957
6,292079.617208
7,254134.878622
8,215114.115728
9,182607.082276
10,156266.959549
11,139994.419331
12,125521.301757
13,112218.794486
14,98203.683241
15,85490.183638
16,73443.00014
17,62609.489556
18,59077.977003
19,53892.80751
20,47565.861958
21,45535.865588
22,44789.582377
23,42402.349216
24,39130.44299
25,37194.415972
26,35206.437543
27,32203.737761
28,29549.317563
29,27893.877946
30,27707.173303
31,28305.702063
32,28536.722112
33,27381.782682
34,24461.926511
35,21388.206521
36,19411.08514
37,18062.429515
38,16313.720166
39,14149.621211
40,12735.640987
41,12904.54259
42,14638.353297
43,18306.190364
44,23544.214839
45,23553.140641
46,18392.083676
47,14694.879614
48,12225.420016
49,10739.847211
50,10534.182216
51,11687.348948
52,14062.339499
53,17369.101524
54,20559.831905
55,21136.519253
56,17377.395549
57,11721.238164
58,7238.102387
59,4490.416936
60,3033.925265
61,2436.691557
62,2353.336915
63,2533.497324
64,2856.349865
65,3287.585287
66,3830.184434
67,4497.835721
68,5294.470384
69,6181.873374
70,7025.865491
71,7550.297363
72,7412.828189
73,6485.358048
74,5057.608511
75,3602.756868
76,2419.456728
77,1570.460802
78,1000.682242
79,631.345226
80,396.219332
81,247.948883
82,154.922317
83,96.716125
84,60.351123
85,37.650098
86,23.485083
87,14.64843
88,9.136461
89,5.6985
90,3.554205
91,2.216796
92,1.382645
93,0.862377
94,0.537881
95,0.335487
96,0.209251
97,0.130515
98,0.081405
99,0.050775
100,0.03167
101,0.019754
102,0.012321
103,0.007685
104,0.004794
105,0.002991
106,0.001866
107,0.001165
108,0.000727
109,0.000455
110,0.000285
111,0.000179
112,0.000114
113,0.000073
Total_time,327.254941
